depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,"21,5","35,81","24,02","-0,213740458",2026-05-05 12:00:00,1,001_0.0
"-0,5",22,"35,81","24,02","-0,171331637",2026-05-05 12:00:00,1,001_0.5
-1,"22,5","35,81","24,02","-0,128922816",2026-05-05 12:00:00,1,001_1.0
"-1,5","28,5","35,81","24,02","0,379983036",2026-05-05 12:00:00,1,001_1.5
-2,34,"35,81","24,02","0,846480068",2026-05-05 12:00:00,1,001_2.0
"-2,5",37,"35,81","24,02","1,100932994",2026-05-05 12:00:00,1,001_2.5
-3,39,"35,81","24,02","1,270568278",2026-05-05 12:00:00,1,001_3.0
"-3,5","40,5","35,81","24,02","1,397794741",2026-05-05 12:00:00,1,001_3.5
-4,"41,5","35,81","24,02","1,482612383",2026-05-05 12:00:00,1,001_4.0
"-4,5",41,"35,81","24,02","1,440203562",2026-05-05 12:00:00,1,001_4.5
-5,"40,5","35,81","24,02","1,397794741",2026-05-05 12:00:00,1,001_5.0
"-5,5","39,5","35,81","24,02","1,312977099",2026-05-05 12:00:00,1,001_5.5
-6,"38,5","35,81","24,02","1,228159457",2026-05-05 12:00:00,1,001_6.0
"-6,5",37,"35,81","24,02","1,100932994",2026-05-05 12:00:00,1,001_6.5
-7,"35,5","35,81","24,02","0,973706531",2026-05-05 12:00:00,1,001_7.0
"-7,5",34,"35,81","24,02","0,846480068",2026-05-05 12:00:00,1,001_7.5
-8,33,"35,81","24,02","0,761662426",2026-05-05 12:00:00,1,001_8.0
"-8,5",32,"35,81","24,02","0,676844784",2026-05-05 12:00:00,1,001_8.5
-9,33,"35,81","24,02","0,761662426",2026-05-05 12:00:00,1,001_9.0
"-9,5","35,5","35,81","24,02","0,973706531",2026-05-05 12:00:00,1,001_9.5
-10,"38,5","35,81","24,02","1,228159457",2026-05-05 12:00:00,1,001_10.0
"-10,5",41,"35,81","24,02","1,440203562",2026-05-05 12:00:00,1,001_10.5
-11,43,"35,81","24,02","1,609838846",2026-05-05 12:00:00,1,001_11.0
"-11,5","44,5","35,81","24,02","1,73706531",2026-05-05 12:00:00,1,001_11.5
-12,45,"35,81","24,02","1,779474131",2026-05-05 12:00:00,1,001_12.0
"-12,5","44,5","35,81","24,02","1,73706531",2026-05-05 12:00:00,1,001_12.5
-13,"43,5","35,81","24,02","1,652247668",2026-05-05 12:00:00,1,001_13.0
"-13,5",42,"35,81","24,02","1,525021204",2026-05-05 12:00:00,1,001_13.5
-14,40,"35,81","24,02","1,35538592",2026-05-05 12:00:00,1,001_14.0
"-14,5",38,"35,81","24,02","1,185750636",2026-05-05 12:00:00,1,001_14.5
-15,"36,5","35,81","24,02","1,058524173",2026-05-05 12:00:00,1,001_15.0
"-15,5","35,5","35,81","24,02","0,973706531",2026-05-05 12:00:00,1,001_15.5
-16,"34,5","35,81","24,02","0,888888889",2026-05-05 12:00:00,1,001_16.0
"-16,5",34,"35,81","24,02","0,846480068",2026-05-05 12:00:00,1,001_16.5
-17,"33,8","35,81","24,02","0,829516539",2026-05-05 12:00:00,1,001_17.0
"-17,5","33,6","35,81","24,02","0,812553011",2026-05-05 12:00:00,1,001_17.5
-18,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_18.0
"-18,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_18.5
-19,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_19.0
"-19,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_19.5
-20,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_20.0
"-20,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_20.5
-21,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_21.0
"-21,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_21.5
-22,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_22.0
"-22,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_22.5
-23,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_23.0
"-23,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_23.5
-24,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_24.0
"-24,5","33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_24.5
-25,"33,5","35,81","24,02","0,804071247",2026-05-05 12:00:00,1,001_25.0
