depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,16,"28,69","21,54","-0,774825175",2026-05-05 12:00:00,19,019_0.0
"-0,5","16,2","28,69","21,54","-0,746853147",2026-05-05 12:00:00,19,019_0.5
-1,"16,5","28,69","21,54","-0,704895105",2026-05-05 12:00:00,19,019_1.0
"-1,5",22,"28,69","21,54","0,064335664",2026-05-05 12:00:00,19,019_1.5
-2,"28,5","28,69","21,54","0,973426573",2026-05-05 12:00:00,19,019_2.0
"-2,5","29,5","28,69","21,54","1,113286713",2026-05-05 12:00:00,19,019_2.5
-3,30,"28,69","21,54","1,183216783",2026-05-05 12:00:00,19,019_3.0
"-3,5","30,5","28,69","21,54","1,253146853",2026-05-05 12:00:00,19,019_3.5
-4,"30,8","28,69","21,54","1,295104895",2026-05-05 12:00:00,19,019_4.0
"-4,5","30,5","28,69","21,54","1,253146853",2026-05-05 12:00:00,19,019_4.5
-5,30,"28,69","21,54","1,183216783",2026-05-05 12:00:00,19,019_5.0
"-5,5","29,5","28,69","21,54","1,113286713",2026-05-05 12:00:00,19,019_5.5
-6,29,"28,69","21,54","1,043356643",2026-05-05 12:00:00,19,019_6.0
"-6,5","28,8","28,69","21,54","1,015384615",2026-05-05 12:00:00,19,019_6.5
-7,"28,5","28,69","21,54","0,973426573",2026-05-05 12:00:00,19,019_7.0
"-7,5",29,"28,69","21,54","1,043356643",2026-05-05 12:00:00,19,019_7.5
-8,30,"28,69","21,54","1,183216783",2026-05-05 12:00:00,19,019_8.0
"-8,5",31,"28,69","21,54","1,323076923",2026-05-05 12:00:00,19,019_8.5
-9,"31,5","28,69","21,54","1,393006993",2026-05-05 12:00:00,19,019_9.0
"-9,5",32,"28,69","21,54","1,462937063",2026-05-05 12:00:00,19,019_9.5
-10,32,"28,69","21,54","1,462937063",2026-05-05 12:00:00,19,019_10.0
"-10,5","31,5","28,69","21,54","1,393006993",2026-05-05 12:00:00,19,019_10.5
-11,31,"28,69","21,54","1,323076923",2026-05-05 12:00:00,19,019_11.0
"-11,5","30,5","28,69","21,54","1,253146853",2026-05-05 12:00:00,19,019_11.5
-12,30,"28,69","21,54","1,183216783",2026-05-05 12:00:00,19,019_12.0
"-12,5","29,5","28,69","21,54","1,113286713",2026-05-05 12:00:00,19,019_12.5
-13,29,"28,69","21,54","1,043356643",2026-05-05 12:00:00,19,019_13.0
"-13,5","28,5","28,69","21,54","0,973426573",2026-05-05 12:00:00,19,019_13.5
-14,"27,5","28,69","21,54","0,833566434",2026-05-05 12:00:00,19,019_14.0
"-14,5","26,5","28,69","21,54","0,693706294",2026-05-05 12:00:00,19,019_14.5
-15,"25,5","28,69","21,54","0,553846154",2026-05-05 12:00:00,19,019_15.0
"-15,5","24,5","28,69","21,54","0,413986014",2026-05-05 12:00:00,19,019_15.5
-16,"23,5","28,69","21,54","0,274125874",2026-05-05 12:00:00,19,019_16.0
"-16,5","22,8","28,69","21,54","0,176223776",2026-05-05 12:00:00,19,019_16.5
-17,"22,2","28,69","21,54","0,092307692",2026-05-05 12:00:00,19,019_17.0
"-17,5","21,8","28,69","21,54","0,036363636",2026-05-05 12:00:00,19,019_17.5
-18,"21,5","28,69","21,54","-0,005594406",2026-05-05 12:00:00,19,019_18.0
"-18,5","21,2","28,69","21,54","-0,047552448",2026-05-05 12:00:00,19,019_18.5
-19,21,"28,69","21,54","-0,075524476",2026-05-05 12:00:00,19,019_19.0
"-19,5","20,8","28,69","21,54","-0,103496503",2026-05-05 12:00:00,19,019_19.5
-20,"20,6","28,69","21,54","-0,131468531",2026-05-05 12:00:00,19,019_20.0
"-20,5","20,5","28,69","21,54","-0,145454545",2026-05-05 12:00:00,19,019_20.5
-21,"20,4","28,69","21,54","-0,159440559",2026-05-05 12:00:00,19,019_21.0
"-21,5","20,3","28,69","21,54","-0,173426573",2026-05-05 12:00:00,19,019_21.5
-22,"20,2","28,69","21,54","-0,187412587",2026-05-05 12:00:00,19,019_22.0
"-22,5","20,1","28,69","21,54","-0,201398601",2026-05-05 12:00:00,19,019_22.5
-23,20,"28,69","21,54","-0,215384615",2026-05-05 12:00:00,19,019_23.0
"-23,5","19,9","28,69","21,54","-0,229370629",2026-05-05 12:00:00,19,019_23.5
-24,"19,8","28,69","21,54","-0,243356643",2026-05-05 12:00:00,19,019_24.0
"-24,5","19,7","28,69","21,54","-0,257342657",2026-05-05 12:00:00,19,019_24.5
-25,"24,6","28,69","21,54","0,427972028",2026-05-05 12:00:00,19,019_25.0
